vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2023-01-01T00:34:01.000,2023-01-01T00:48:37.000,2.0,5.97,1.0,N,13,162,1,26.1,1.0,0.5,9.33,0.0,1.0,40.43,2.5,0.0
2,2023-01-01T00:39:52.000,2023-01-01T00:56:21.000,1.0,2.96,1.0,N,144,246,1,17.7,1.0,0.5,4.54,0.0,1.0,27.24,2.5,0.0
1,2023-01-01T00:30:47.000,2023-01-01T00:41:02.000,2.0,1.2,1.0,N,148,211,2,10.7,3.5,0.5,0.0,0.0,1.0,15.7,2.5,0.0
1,2023-01-01T00:57:36.000,2023-01-01T01:20:23.000,4.0,5.2,1.0,N,264,264,1,24.7,1.0,0.5,5.0,2.45,1.0,34.65,0.0,0.0
2,2023-01-01T00:57:41.000,2023-01-01T01:08:49.000,1.0,2.23,1.0,N,166,143,1,13.5,1.0,0.5,4.0,0.0,1.0,22.5,2.5,0.0
2,2023-01-01T00:32:51.000,2023-01-01T00:39:01.000,1.0,1.21,1.0,N,238,75,1,8.6,1.0,0.5,2.22,0.0,1.0,13.32,0.0,0.0
1,2023-01-01T00:04:26.000,2023-01-01T00:24:03.000,1.0,5.8,1.0,N,142,42,2,26.8,3.5,0.5,0.0,0.0,1.0,31.8,2.5,0.0
2,2023-01-01T00:45:27.000,2023-01-01T01:00:03.000,5.0,3.09,1.0,N,48,151,2,17.0,1.0,0.5,0.0,0.0,1.0,22.0,2.5,0.0
1,2023-01-01T00:25:26.000,2023-01-01T00:33:15.000,2.0,1.0,1.0,N,162,229,2,9.3,3.5,0.5,0.0,0.0,1.0,14.3,2.5,0.0
2,2023-01-01T00:09:27.000,2023-01-01T00:15:04.000,1.0,0.8,1.0,N,236,75,1,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5,0.0
1,2023-01-01T00:23:45.000,2023-01-01T00:38:12.000,1.0,2.1,1.0,N,90,229,2,12.8,3.5,0.5,0.0,0.0,1.0,17.8,2.5,0.0
2,2023-01-01T00:10:02.000,2023-01-01T00:16:02.000,1.0,0.82,1.0,N,238,238,1,7.9,1.0,0.5,3.22,0.0,1.0,16.12,2.5,0.0
1,2023-01-01T00:33:22.000,2023-01-01T00:37:06.000,2.0,0.7,1.0,N,262,263,1,5.8,3.5,0.5,2.7,0.0,1.0,13.5,2.5,0.0
